"Guid","AboutMe","Alias","City","CommunityNickname","CompanyName","ContactId","Country","DefaultGroupNotificationFrequency","Department","DigestFrequency","Division","Email","EmailEncodingKey","EmailPreferencesAutoBcc","EmailPreferencesAutoBccStayInTouch","EmailPreferencesStayInTouchReminder","EmployeeNumber","Extension","Fax","FederationIdentifier","FirstName","ForecastEnabled","GeocodeAccuracy","IsActive","IsPortalEnabled","LanguageLocaleKey","LastName","Latitude","LocaleSidKey","Longitude","ManagerId","MobilePhone","Phone","PortalRole","PostalCode","ReceivesAdminInfoEmails","ReceivesInfoEmails","SBQQ__DefaultProductLookupTab__c","SBQQ__DiagnosticToolEnabled__c","SBQQ__OutputFormatChangeAllowed__c","SBQQ__ProductSortPreference__c","SBQQ__ResetProductLookup__c","SBQQ__Theme__c","SenderEmail","SenderName","Signature","State","StayInTouchNote","StayInTouchSignature","StayInTouchSubject","Street","TimeZoneSidKey","Title","UserPermissionsAvantgoUser","UserPermissionsCallCenterAutoLogin","UserPermissionsInteractionUser","UserPermissionsMarketingUser","UserPermissionsOfflineUser","UserPermissionsSFContentUser","UserPermissionsSupportUser","UserPreferencesActivityRemindersPopup","UserPreferencesApexPagesDeveloperMode","UserPreferencesCacheDiagnostics","UserPreferencesCreateLEXAppsWTShown","UserPreferencesDisCommentAfterLikeEmail","UserPreferencesDisMentionsCommentEmail","UserPreferencesDisProfPostCommentEmail","UserPreferencesDisableAllFeedsEmail","UserPreferencesDisableBookmarkEmail","UserPreferencesDisableChangeCommentEmail","UserPreferencesDisableEndorsementEmail","UserPreferencesDisableFileShareNotificationsForApi","UserPreferencesDisableFollowersEmail","UserPreferencesDisableLaterCommentEmail","UserPreferencesDisableLikeEmail","UserPreferencesDisableMentionsPostEmail","UserPreferencesDisableMessageEmail","UserPreferencesDisableProfilePostEmail","UserPreferencesDisableSharePostEmail","UserPreferencesEnableAutoSubForFeeds","UserPreferencesEventRemindersCheckboxDefault","UserPreferencesExcludeMailAppAttachments","UserPreferencesFavoritesShowTopFavorites","UserPreferencesFavoritesWTShown","UserPreferencesGlobalNavBarWTShown","UserPreferencesGlobalNavGridMenuWTShown","UserPreferencesHasCelebrationBadge","UserPreferencesHideBiggerPhotoCallout","UserPreferencesHideBrowseProductRedirectConfirmation","UserPreferencesHideCSNDesktopTask","UserPreferencesHideCSNGetChatterMobileTask","UserPreferencesHideChatterOnboardingSplash","UserPreferencesHideEndUserOnboardingAssistantModal","UserPreferencesHideInvoicesRedirectConfirmation","UserPreferencesHideLightningMigrationModal","UserPreferencesHideOnlineSalesAppWelcomeMat","UserPreferencesHideS1BrowserUI","UserPreferencesHideSecondChatterOnboardingSplash","UserPreferencesHideSfxWelcomeMat","UserPreferencesHideStatementsRedirectConfirmation","UserPreferencesLightningExperiencePreferred","UserPreferencesNativeEmailClient","UserPreferencesNewLightningReportRunPageEnabled","UserPreferencesPathAssistantCollapsed","UserPreferencesPreviewCustomTheme","UserPreferencesPreviewLightning","UserPreferencesReceiveNoNotificationsAsApprover","UserPreferencesReceiveNotificationsAsDelegatedApprover","UserPreferencesRecordHomeReservedWTShown","UserPreferencesRecordHomeSectionCollapseWTShown","UserPreferencesReminderSoundOff","UserPreferencesSRHOverrideActivities","UserPreferencesShowCityToExternalUsers","UserPreferencesShowCityToGuestUsers","UserPreferencesShowCountryToExternalUsers","UserPreferencesShowCountryToGuestUsers","UserPreferencesShowEmailToExternalUsers","UserPreferencesShowEmailToGuestUsers","UserPreferencesShowFaxToExternalUsers","UserPreferencesShowFaxToGuestUsers","UserPreferencesShowManagerToExternalUsers","UserPreferencesShowManagerToGuestUsers","UserPreferencesShowMobilePhoneToExternalUsers","UserPreferencesShowMobilePhoneToGuestUsers","UserPreferencesShowPostalCodeToExternalUsers","UserPreferencesShowPostalCodeToGuestUsers","UserPreferencesShowProfilePicToGuestUsers","UserPreferencesShowStateToExternalUsers","UserPreferencesShowStateToGuestUsers","UserPreferencesShowStreetAddressToExternalUsers","UserPreferencesShowStreetAddressToGuestUsers","UserPreferencesShowTitleToExternalUsers","UserPreferencesShowTitleToGuestUsers","UserPreferencesShowWorkPhoneToExternalUsers","UserPreferencesShowWorkPhoneToGuestUsers","UserPreferencesSortFeedByComment","UserPreferencesSuppressEventSFXReminders","UserPreferencesSuppressTaskSFXReminders","UserPreferencesTaskRemindersCheckboxDefault","UserPreferencesUserDebugModePref","Username","ccrz__CC_CurrencyCode__c","ccrz__CompanyType__c","ccrz__ContactTypeRole__c","ccrz__DataId__c","ccrz__Tax_Exempt__c","ccrz__User_Industry__c","ccrz__User_Salutation__c"
03974c4d-2bed-410a-a32d-ffc34429cf65,"#N/A",swall,"#N/A",swall,Prodly,"#N/A",US,N,"#N/A",D,"#N/A",swallingford@example.com,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Susie,false,"#N/A",false,false,en_US,Wallingford,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",true,true,"#N/A",false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,swallingford.mbdtbvhl8rn5.fl13wuopqcin@prodly.co.cr-00000337,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A"
2028edef-a2c5-470e-9b91-496795d5b04c,"#N/A",HCoxo,"#N/A",User160798333118479531,Prodly,"#N/A",US,N,"#N/A",D,"#N/A",hcoxon@example.com,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Hayley,true,"#N/A",true,false,en_US,Coxon,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",true,true,"#N/A",false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,hcoxon.gm7zi2pcfwbe.hx4w3aqsi6hl@prodly.co.cr-00000337,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A"
2d052ddf-4252-4ed2-80dc-dbde87a914a2,"#N/A",blewi,"#N/A",User16135968902505591930,Prodly,"#N/A",US,N,"#N/A",D,"#N/A",blewis@example.com,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Bethany,false,"#N/A",false,false,en_US,Lewis,"#N/A",en_US,"#N/A","#N/A",+1 7738370284,"#N/A","#N/A","#N/A",true,true,Guided Selling,false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,blewis.7fhrweqh1z1k.gnyhspxlw0e4@prodly.co.cr-00000337,"#N/A","#N/A",Researcher/Post Doc,"#N/A",false,Academic research,Mr
52d08434-566e-4f35-9eb8-d4c0b142d671,"I’m here to help you get started with Chatter. I’ll introduce you to features, create sample posts, and suggest tips and best practices.

I'm an automated user so you don't need to worry about privacy! I can't see any of your posts or files.

If I'm too noisy, have your admin or moderator deactivate me and I'll stop posting.",Chatter,"#N/A",Chatter Expert,Prodly,"#N/A",US,N,"#N/A",D,"#N/A",noreply@chatter.salesforce.com,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A",true,false,en_US,Chatter Expert,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,chatty.00d5f000006rjajeai.506pzymw33z3@chatter.salesforce.com,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A"
5a2dd602-0470-4790-bb13-a8aa359e23d9,"#N/A",DClar,"#N/A",User16383820841146128811,Prodly,"#N/A",US,N,"#N/A",D,"#N/A",dclark@prodly.co,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",David,false,"#N/A",true,false,en_US,Clark,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",true,true,Guided Selling,false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,dclark@prodly.co.cr-00000337,"#N/A","#N/A",Researcher/Post Doc,"#N/A",false,Academic research,Mr
6a39d937-c5c9-4ff1-b34a-4448d660ee90,"#N/A",platint,"#N/A",cloud1.5599740138347444E12,Prodly,"#N/A",US,N,"#N/A",N,"#N/A",noreply@00d5f000006rjajeai,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A",true,false,en_US,Platform Integration User,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,cloud@00d5f000006rjajeai,"#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A"
6fa38b6c-17a3-4d59-8224-9b69f00923d5,"#N/A",mrudm,"#N/A",User16109904705267490616,Prodly,"#N/A",US,N,"#N/A",D,"#N/A",mrudman@example.com,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Max,false,"#N/A",true,false,en_US,Rudman,"#N/A",en_US,"#N/A","#N/A",+1 4159992817,"#N/A","#N/A","#N/A",true,true,Guided Selling,false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,mrudman.umc9wvfn8pjz.5fuadxsvudrz@prodly.co.cr-00000337,"#N/A","#N/A",Researcher/Post Doc,"#N/A",false,Academic research,Mr
82d3cc4c-2bd1-4772-a5a0-20627676db6c,"#N/A",iuser,"#N/A",User16166014161464086999,Prodly,"#N/A",US,N,"#N/A",D,"#N/A",hcoxon@example.com,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Integration,false,"#N/A",false,false,en_US,User,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",true,true,Guided Selling,false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,chatty.00d5f000006rjajeai.5digb3ly5n0y@chatter.salesforce.com,"#N/A","#N/A",Researcher/Post Doc,"#N/A",false,Academic research,Mr
a2fd42e5-1f15-42a6-8290-a324c6a0d70c,"#N/A",aslan,"#N/A",User16142654148988894856,Prodly,"#N/A",US,N,"#N/A",D,"#N/A",aslania@example.com,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Andy,false,"#N/A",false,false,en_US,Slania,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",true,true,Guided Selling,false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,aslania.bvlfbunn1ljb.j62mm2yi04wn@prodly.co.cr-00000337,"#N/A","#N/A",Researcher/Post Doc,"#N/A",false,Academic research,Mr
bac601f1-32e8-496f-87e7-4073a5aef368,"#N/A",dblac,"#N/A",User16109905414925141193,Prodly,"#N/A",US,N,"#N/A",D,"#N/A",dblack@example.com,UTF-8,true,false,true,"#N/A","#N/A","#N/A","#N/A",Derek,false,"#N/A",false,false,en_US,Black,"#N/A",en_US,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",true,true,Guided Selling,false,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",America/Los_Angeles,"#N/A",false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,dblack.tsz2r2eidyl7.r3fmnlcp5jgz@prodly.co.cr-00000337,"#N/A","#N/A",Researcher/Post Doc,"#N/A",false,Academic research,Mr
